"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 06 10:21:46 MSK 2021","Tue Jul 06 10:21:55 MSK 2021","8303","","test","","test","Exlpore GitHub for webdriverio  ","Exlpore GitHub for webdriverio  ",""
"passed","Tue Jul 06 10:21:22 MSK 2021","Tue Jul 06 10:21:24 MSK 2021","2777","","test","","test","Reset your password with invalid email","Reset your password with invalid email",""
"passed","Tue Jul 06 10:21:37 MSK 2021","Tue Jul 06 10:21:46 MSK 2021","9575","","test","","test","Exlpore GitHub and check is ""topics"" displayed ","Exlpore GitHub and check is ""topics"" displayed ",""
"passed","Tue Jul 06 10:22:10 MSK 2021","Tue Jul 06 10:22:18 MSK 2021","7407","","test","","test","output carers labels in console ","output carers labels in console ",""
"passed","Tue Jul 06 10:21:17 MSK 2021","Tue Jul 06 10:21:22 MSK 2021","4820","","test","","test","Sign In with correct credentials ","Sign In with correct credentials ",""
"passed","Tue Jul 06 10:21:28 MSK 2021","Tue Jul 06 10:21:37 MSK 2021","8583","","test","","test","Registraion with join for free button ","Registraion with join for free button ",""
"passed","Tue Jul 06 10:21:04 MSK 2021","Tue Jul 06 10:21:17 MSK 2021","12678","","test","","test","register footer button ","register footer button ",""
"passed","Tue Jul 06 10:21:24 MSK 2021","Tue Jul 06 10:21:28 MSK 2021","3791","","test","","test","Mouse hover to buttons and isDisplayed verification","Mouse hover to buttons and isDisplayed verification",""
"passed","Tue Jul 06 10:21:55 MSK 2021","Tue Jul 06 10:22:02 MSK 2021","7687","","test","","test","Regiser account with github enterprise cloud ","Regiser account with github enterprise cloud ",""
"passed","Tue Jul 06 10:22:02 MSK 2021","Tue Jul 06 10:22:10 MSK 2021","7876","","test","","test","Regiser account with github enterprise server  ","Regiser account with github enterprise server  ",""
"passed","Tue Jul 06 10:20:50 MSK 2021","Tue Jul 06 10:21:04 MSK 2021","14088","","test","","test","register from main page","register from main page",""
